country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",25-03-2025 10:00,20.362421,72.918013,PM2.5,61,329,145
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",25-03-2025 10:00,20.362421,72.918013,NO2,13,14,14
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",25-03-2025 10:00,20.362421,72.918013,SO2,30,39,35
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",25-03-2025 10:00,15.888653,74.541751,OZONE,18,24,20
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",25-03-2025 10:00,12.9135218,77.5950804,NH3,7,9,7
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",25-03-2025 10:00,23.002657,72.591912,NO2,0,0,0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",25-03-2025 10:00,23.020509,72.579261,PM2.5,54,119,76
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",25-03-2025 10:00,23.243639,72.68994,SO2,0,0,0
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",25-03-2025 10:00,13.0270199,77.494094,NH3,3,4,3
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",25-03-2025 10:00,13.0270199,77.494094,SO2,6,16,9
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",25-03-2025 10:00,12.921418,77.502466,NO2,21,22,21
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",25-03-2025 10:00,12.990328,77.5431385,NO2,21,38,26
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",25-03-2025 10:00,12.990328,77.5431385,SO2,6,8,7
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",25-03-2025 10:00,13.0246342,77.5080115,SO2,5,8,6
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",25-03-2025 10:00,12.917348,77.622813,PM10,54,154,96
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",25-03-2025 10:00,17.930306,77.482194,PM10,0,0,0
